UniqueID,site_id,lat,lon,pft
2407743,8c23aa17d5b211ed,37.23624,-120.32542,woody perennial crop
5018890,000f186bcf4b2be5,37.29108,-121.04882,woody perennial crop
2402405,984a04e7d14a80a3,37.37849,-120.70412,woody perennial crop
2404916,c8ca707e38904560,37.4307,-120.82563,woody perennial crop
5010990,54d2ebadd8e4e8e2,37.4912,-121.00855,woody perennial crop
5000084,2bd084fb5a916420,37.52908,-121.13639,woody perennial crop
5003882,ae81f35c7ed7c3f1,37.5845,-121.28798,woody perennial crop
5003737,765ad4a2cb597b04,37.61728,-120.85985,woody perennial crop
5004110,1cb62b1edd188368,37.62449,-120.5485,woody perennial crop
0100516,02ed5f046523985e,37.66868,-121.71246,woody perennial crop
5013043,5aabe8a4b61ac4b1,37.7022,-120.98628,woody perennial crop
3902833,b609ae97085420fb,37.87292,-121.30337,woody perennial crop
3905745,b33f7db23b64a377,37.95409,-121.21348,woody perennial crop
3914976,9e3b1749179a4a68,37.99925,-121.20417,woody perennial crop
3906534,1e113c95a1054df5,38.0175,-121.19637,woody perennial crop
3909214,08da82da7c956979,38.10502,-121.21071,woody perennial crop
4805224,01609970faa3c5b9,38.24749,-122.11328,woody perennial crop
3402961,7f1efab0660af0a9,38.29195,-121.54985,woody perennial crop
4801570,4c49ef413147e623,38.50693,-121.9747,woody perennial crop
5706106,30d7e9a739591579,38.69489,-122.04115,woody perennial crop
4900643,e5d633da3758c491,38.69824,-122.82084,woody perennial crop
1701490,6fe9d9756f962d11,38.99993,-122.85197,woody perennial crop
5802741,bf27f77fb0ee40e0,39.14373,-121.57068,woody perennial crop
5101572,889d6cb7440babd8,39.14836,-121.78505,woody perennial crop
2900379,84389254458b3a58,39.15317,-120.95863,woody perennial crop
5106273,e3daa31507eccfd0,39.16473,-121.76551,woody perennial crop
1105518,ba5921d796f688e5,39.54047,-122.22839,woody perennial crop
0401407,f5cde95be18bb83d,39.61337,-121.84505,woody perennial crop
1104914,95af7876982dad47,39.66783,-122.25811,woody perennial crop
1107030,92e5e100e1a3a472,39.68505,-122.3378,woody perennial crop
0404422,f87888e9df3fab14,39.7019,-121.79205,woody perennial crop
1100552,8c469dfef3eac688,39.73426,-122.139,woody perennial crop
0404306,058d96dea56318e8,39.84545,-121.99766,woody perennial crop
5201739,254f091dee798a22,39.86793,-122.16831,woody perennial crop
5203095,148e91e1a4352adb,39.88393,-122.1723,woody perennial crop
5203110,d4aa2f4b173e52d9,39.89466,-122.21828,woody perennial crop
5200592,e664ce5ac2fb2b6f,39.91337,-122.11623,woody perennial crop
5201262,59d94ec22335aba5,40.11295,-122.12625,woody perennial crop
